unix_time,v0,v1,v2,v3,v4,v5,p0,p1,p2,p3,p4,p5,soil_temp,soil_moisture
1669309690,-6.63,-7.88,1,-2.13,-2.13,-1,0.02,0.03,0,0,0,0,20.88,50.56
1669309751,-6.5,-7.5,0.63,-2.25,-2.25,-1.13,0.02,0.03,0,0,0,0,20.81,50.61
1669309812,-6.5,-7.25,0.25,-2.25,-2.25,-1.13,0.02,0.03,0,0,0,0,20.81,50.63
1669309873,-6.63,-7.25,0,-2.25,-2.25,-1.13,0.02,0.03,0,0,0,0,20.75,50.82
1669309934,-6.5,-7.13,-0.25,-2.25,-2.13,-1.13,0.02,0.03,0,0,0,0,20.81,50.75
1669309995,-6.5,-7.13,-0.63,-2.25,-2.13,-1.13,0.02,0.03,0,0,0,0,20.81,50.84
1669310056,-6.5,-7.13,-0.88,-2.13,-2,-1.13,0.02,0.03,0,0,0,0,20.75,50.79
1669310118,-6.5,-7,-1.25,-2.13,-2.13,-1.13,0.02,0.02,0,0,0,0,20.81,50.75
1669310179,-6.5,-7,-1.25,-2.25,-2,-1.13,0.02,0.02,0,0,0,0,20.81,50.95
1669310240,-6.38,-7,-1.25,-2.13,-2,-1.13,0.02,0.02,0,0,0,0,20.81,50.88
1669310301,-6.5,-7,-1.5,-2.13,-2,-1.13,0.02,0.02,0,0,0,0,20.75,50.82
1669310362,-6.38,-6.88,-1.75,-2.13,-2,-1.13,0.02,0.02,0,0,0,0,20.75,50.79
1669310423,-6.38,-6.88,-1.88,-2.13,-2,-1.13,0.02,0.02,0,0,0,0,20.75,50.72
1669310484,-6.38,-6.75,-3.88,-2.13,-2,-1.13,0.02,0.02,0.01,0,0,0,20.75,50.77
1669310545,-6.38,-6.75,-2.25,-2,-2,-1.13,0.02,0.02,0,0,0,0,20.81,50.72
1669310607,-6.38,-6.63,-2.25,-2,-2,-1.13,0.02,0.02,0,0,0,0,20.75,50.63
1669310668,-6.38,-6.63,-2.38,-2,-2,-1,0.02,0.02,0,0,0,0,20.81,50.65
1669310729,-6.38,-6.63,-2.5,-2,-2,-1.13,0.02,0.02,0,0,0,0,20.75,50.7
1669310790,-6.25,-6.63,-2.63,-2,-1.88,-1,0.02,0.02,0,0,0,0,20.75,50.63
1669310851,-6.25,-6.63,-2.88,-2,-1.88,-1,0.02,0.02,0,0,0,0,20.75,50.54
1669310912,-6.25,-6.63,-2.88,-2,-1.88,-1,0.02,0.02,0,0,0,0,20.75,50.58
1669310973,-6.25,-6.5,-3,-2,-1.88,-1.13,0.02,0.02,0,0,0,0,20.75,50.72
1669311034,-6.25,-6.5,-3.13,-2,-1.88,-1,0.02,0.02,0,0,0,0,20.81,50.63
1669311096,-6.25,-6.5,-3.25,-2,-1.88,-1,0.02,0.02,0.01,0,0,0,20.81,50.63
1669311157,-6.25,-6.5,-3.38,-2,-1.88,-1,0.02,0.02,0.01,0,0,0,20.75,50.45
1669311218,-6.25,-6.5,-3.5,-2,-1.88,-1,0.02,0.02,0.01,0,0,0,20.75,50.58
1669311279,-6.25,-6.38,-3.63,-1.88,-1.88,-1,0.02,0.02,0.01,0,0,0,20.75,50.63
1669311340,-6.25,-6.38,-3.75,-2,-1.88,-1,0.02,0.02,0.01,0,0,0,20.75,50.58
1669311401,-6.13,-6.5,-3.88,-2,-1.88,-1,0.02,0.02,0.01,0,0,0,20.75,50.63
1669311462,-6.13,-6.38,-3.88,-2,-1.88,-1,0.02,0.02,0.01,0,0,0,20.69,50.65
1669311524,-6.13,-6.5,-3.88,-2,-1.88,-1,0.02,0.02,0.01,0,0,0,20.75,50.56
1669311585,-6.13,-6.38,-4,-2,-1.88,-1,0.02,0.02,0.01,0,0,0,20.81,50.54
1669311646,-6.25,-6.38,-4.13,-1.88,-1.88,-1,0.02,0.02,0.01,0,0,0,20.75,50.56
1669311707,-6.13,-6.38,-4.13,-1.88,-1.88,-1,0.02,0.02,0.01,0,0,0,20.75,50.58
1669311768,-6.13,-6.38,-4.25,-1.88,-1.75,-1,0.02,0.02,0.01,0,0,0,20.75,50.56
1669311829,-6.13,-6.38,-4.25,-1.88,-1.88,-1,0.02,0.02,0.01,0,0,0,20.81,50.54
1669311890,-6.13,-6.38,-4.38,-1.88,-1.88,-1,0.02,0.02,0.01,0,0,0,20.75,50.54
1669311951,-6.13,-6.38,-4.38,-1.88,-1.88,-1,0.02,0.02,0.01,0,0,0,20.69,50.49
1669312012,-6.13,-6.38,-4.5,-1.88,-1.88,-1,0.02,0.02,0.01,0,0,0,20.62,50.49
1669312074,-6,-6.25,-4.5,-1.88,-1.88,-1,0.02,0.02,0.01,0,0,0,20.75,50.45
1669312135,-6.13,-6.25,-4.63,-1.88,-1.75,-0.88,0.02,0.02,0.01,0,0,0,20.75,50.61
1669312196,-6.13,-6.25,-4.63,-1.88,-1.88,-1,0.02,0.02,0.01,0,0,0,20.75,50.61
1669312257,-6.13,-6.25,-4.75,-1.88,-1.88,-1,0.02,0.02,0.01,0,0,0,20.75,50.45
